vertex1,vertex2,algorithm,time_ns,relaxed_edges,distance
432483367,7305584,CH,7233458,524,12012.0
310404465,2991236426,D,40702583,65973,5281.0
310404465,2991236426,CH,4064709,340,5281.0
1097376280,593864509,D,294981583,490209,15293.0
1097376280,593864509,CH,6314709,446,15293.0
4868595987,3673871029,D,203953000,299450,8589.0
4868595987,3673871029,CH,5059542,419,8589.0
252126284,1169543772,D,48537625,80900,3114.0
252126284,1169543772,CH,3861875,416,3114.0
345521687,3464340234,D,278930958,504776,18238.0
345521687,3464340234,CH,5505875,402,18238.0
391751205,3675102028,D,216506167,385927,13991.0
391751205,3675102028,CH,6610542,502,13991.0
5074048337,1583979595,D,150926125,269406,12963.0
5074048337,1583979595,CH,5872334,384,12963.0
3263817541,4560720407,D,120246500,205366,4956.0
3263817541,4560720407,CH,5749958,477,4956.0
3015929129,3296593280,D,30050875,45753,1957.0
3015929129,3296593280,CH,3254958,318,1957.0
469398139,3887956385,D,143332584,247173,7193.0
469398139,3887956385,CH,5034458,381,7193.0
3356133774,1210799869,D,22291792,26649,1643.0
3356133774,1210799869,CH,3252000,301,1643.0
1164866919,1297668588,D,90039167,157057,7196.0
1164866919,1297668588,CH,6745167,557,7196.0
4916005225,4124581732,D,351921166,552539,13756.0
4916005225,4124581732,CH,5240875,366,13756.0
1139557628,1282837337,D,141208459,223839,8234.0
1139557628,1282837337,CH,7205959,524,8234.0
3244258327,279825351,D,164827959,246693,7974.0
3244258327,279825351,CH,4414833,356,7974.0
1350776901,1126788345,D,268749542,431946,13079.0
1350776901,1126788345,CH,9560000,726,13079.0
1271044483,1699826201,D,139767625,201205,6695.0
1271044483,1699826201,CH,5607541,391,6695.0
1590545894,5327253228,D,281890750,445634,9901.0
1590545894,5327253228,CH,6051083,425,9901.0
280821205,411667804,D,84613667,134161,6128.0
280821205,411667804,CH,6673459,481,6128.0
442497988,1121917492,D,169788917,276325,8396.0
442497988,1121917492,CH,5145417,353,8396.0
2367885111,446015758,D,182727000,329079,7592.0
2367885111,446015758,CH,4985666,352,7592.0
1083314873,266629284,D,261396083,425542,9583.0
1083314873,266629284,CH,6251667,467,9583.0
2724962402,2606351595,D,126266417,203121,8217.0
2724962402,2606351595,CH,4800834,351,8217.0
1661041119,5405903565,D,152618750,272909,12399.0
1661041119,5405903565,CH,5720000,418,12399.0
3697135512,2754293016,D,281981208,464167,13822.0
3697135512,2754293016,CH,5724542,407,13822.0
265468163,1021312713,D,273792042,495821,15313.0
265468163,1021312713,CH,5907625,417,15313.0
2880082199,2411629102,D,270844500,491057,17656.0
2880082199,2411629102,CH,5546708,386,17656.0
30405571,2343073443,D,76274375,122436,4860.0
30405571,2343073443,CH,3250125,195,4860.0
3913041033,7451590,D,109601125,193547,9280.0
3913041033,7451590,CH,5447542,418,9280.0
1939538473,1446413294,D,208004333,386506,10974.0
1939538473,1446413294,CH,5045666,359,10974.0
2415181014,2852225649,D,181665250,334202,7235.0
2415181014,2852225649,CH,6200667,470,7235.0
5282333170,1100387418,D,203369125,395503,10235.0
5282333170,1100387418,CH,6803792,469,10235.0
4195690506,1098423300,D,142831166,263785,10447.0
4195690506,1098423300,CH,7057334,507,10447.0
1275874251,3190136387,D,171608834,347205,14885.0
1275874251,3190136387,CH,5902875,413,14885.0
4141679788,70635187,D,94883458,173321,6055.0
4141679788,70635187,CH,4921708,351,6055.0
2404675587,1700969281,D,102759750,194711,10187.0
2404675587,1700969281,CH,7323083,533,10187.0
2568737829,497314069,D,187514250,348194,12701.0
2568737829,497314069,CH,7026916,475,12701.0
3720044059,370596333,D,285042250,485081,11180.0
3720044059,370596333,CH,7658292,529,11180.0
5180850986,59871338,D,97750458,180620,7535.0
5180850986,59871338,CH,5244083,402,7535.0
