vertex1,vertex2,algorithm,time_ns,relaxed_edges,distance
1045772288,3090324174,D,129275375,426907,5117.0
1045772288,3090324174,BD,90681875,111985,5117.0
1600966664,3679040488,D,330673000,1130889,17374.0
1600966664,3679040488,BD,356566250,492996,17374.0
3258368334,3261672955,D,141338750,515744,12999.0
3258368334,3261672955,BD,343968458,481226,12999.0
1082617160,4731020967,D,168467667,634924,12878.0
1082617160,4731020967,BD,254440375,331324,12878.0
3835639505,532330636,D,181876416,735467,14639.0
3835639505,532330636,BD,345719917,478707,14639.0
283125763,1332270178,D,185813208,721016,8878.0
283125763,1332270178,BD,104163292,138110,8878.0
4793530516,1696985370,D,283288042,1039718,14539.0
4793530516,1696985370,BD,238227750,343574,14539.0
290751636,1127674763,D,195397667,757466,11045.0
290751636,1127674763,BD,168089583,222817,11045.0
1563759320,1105391836,D,187397084,735582,9012.0
1563759320,1105391836,BD,140752875,179314,9012.0
881317842,432450752,D,26714541,70040,2479.0
881317842,432450752,BD,30300666,24312,2479.0
33179536,249579713,D,277653958,1035246,15014.0
33179536,249579713,BD,199701250,277837,15014.0
1153204261,3897416318,D,2763583,3450,1852.0
1153204261,3897416318,BD,7453917,4871,1852.0
277548073,3444981599,D,287246958,1095885,19496.0
277548073,3444981599,BD,347841500,466985,19496.0
2716927097,828094480,D,236140458,824481,8972.0
2716927097,828094480,BD,136173792,180553,8972.0
2375811785,4339308658,D,254374000,916634,11190.0
2375811785,4339308658,BD,216290208,283992,11190.0
2504666026,1151684833,D,74420041,231739,3406.0
2504666026,1151684833,BD,49423833,52712,3406.0
432483367,7305584,D,314625125,1101340,12012.0
432483367,7305584,BD,311389000,426147,12012.0
310404465,2991236426,D,44879042,134927,5281.0
310404465,2991236426,BD,41586417,47164,5281.0
1097376280,593864509,D,268378250,1000839,15293.0
1097376280,593864509,BD,364546292,497136,15293.0
4868595987,3673871029,D,168401667,611528,8589.0
4868595987,3673871029,BD,121882291,151817,8589.0
252126284,1169543772,D,54271209,165093,3114.0
252126284,1169543772,BD,31051250,27122,3114.0
345521687,3464340234,D,294244334,1031323,18238.0
345521687,3464340234,BD,326443666,478134,18238.0
391751205,3675102028,D,195629250,789104,13991.0
391751205,3675102028,BD,249612167,340127,13991.0
5074048337,1583979595,D,148919334,550629,12963.0
5074048337,1583979595,BD,337687500,473395,12963.0
3263817541,4560720407,D,122822500,419566,4956.0
3263817541,4560720407,BD,76545666,94356,4973.0
3015929129,3296593280,D,32238375,93551,1957.0
3015929129,3296593280,BD,23990791,17963,1957.0
469398139,3887956385,D,165340000,504999,7193.0
469398139,3887956385,BD,93885083,113879,7193.0
3356133774,1210799869,D,25020291,54624,1643.0
3356133774,1210799869,BD,20815250,15518,1643.0
1164866919,1297668588,D,103130625,320885,7196.0
1164866919,1297668588,BD,110131375,122779,7196.0
4916005225,4124581732,D,366130542,1128905,13756.0
4916005225,4124581732,BD,205430000,269720,13772.0
1139557628,1282837337,D,146557542,457858,8234.0
1139557628,1282837337,BD,125771834,153156,8234.0
3244258327,279825351,D,146797750,503931,7974.0
3244258327,279825351,BD,76275416,96849,7974.0
1350776901,1126788345,D,271193959,881896,13079.0
1350776901,1126788345,BD,358578541,455122,13079.0
1271044483,1699826201,D,131412166,411117,6695.0
1271044483,1699826201,BD,103912500,126580,6695.0
1590545894,5327253228,D,264346459,910665,9901.0
1590545894,5327253228,BD,168073459,216759,9901.0
280821205,411667804,D,85136875,274132,6128.0
280821205,411667804,BD,113065625,134577,6128.0
442497988,1121917492,D,168196334,564974,8396.0
442497988,1121917492,BD,148083167,181947,8396.0
2367885111,446015758,D,194301709,672640,7592.0
2367885111,446015758,BD,135076458,155942,7592.0
1083314873,266629284,D,269287167,868763,9583.0
1083314873,266629284,BD,224519000,277167,9583.0
2724962402,2606351595,D,132019916,415291,8217.0
2724962402,2606351595,BD,148025125,182817,8217.0
1661041119,5405903565,D,165950416,557541,12399.0
1661041119,5405903565,BD,204381208,261173,12399.0
3697135512,2754293016,D,324354250,947451,13822.0
3697135512,2754293016,BD,354377959,404960,13822.0
265468163,1021312713,D,295181041,1012827,15313.0
265468163,1021312713,BD,374090708,449390,15313.0
2880082199,2411629102,D,332468125,1002581,17656.0
2880082199,2411629102,BD,394858000,472793,17656.0
30405571,2343073443,D,79633292,250759,4860.0
30405571,2343073443,BD,81323000,94406,4860.0
3913041033,7451590,D,142922375,395076,9280.0
3913041033,7451590,BD,212237875,255521,9280.0
1939538473,1446413294,D,260785917,789681,10974.0
1939538473,1446413294,BD,142910667,167495,10974.0
2415181014,2852225649,D,240385458,683238,7235.0
2415181014,2852225649,BD,154978708,174754,7235.0
5282333170,1100387418,D,249646833,808172,10235.0
5282333170,1100387418,BD,171632792,205758,10235.0
4195690506,1098423300,D,154723875,539019,10447.0
4195690506,1098423300,BD,315947583,374191,10447.0
